Division ID,Division,State,Ordinary Yes Votes,Ordinary Yes % of Formal,Ordinary No Votes,Ordinary No % of Formal,Ordinary Informal Votes,Ordinary Informal % of Total,Absent Yes Votes,Absent Yes % of Formal,Absent No Votes,Absent No % of Formal,Absent Informal Votes,Absent Informal % of Total,Provisional Yes Votes,Provisional Yes % of Formal,Provisional No Votes,Provisional No % of Formal,Provisional Informal Votes,Provisional Informal % of Total,Pre-Poll Yes Votes,Pre-Poll Yes % of Formal,Pre-Poll No Votes,Pre-Poll No % of Formal,Pre-Poll Informal Votes,Pre-Poll Informal % of Total,Postal Yes Votes,Postal Yes % of Formal,Postal No Votes,Postal No % of Formal,Postal Informal Votes,Postal Informal % of Total
165,Herbert,QLD,20116,24.75,61166,75.25,626,0.76,982,32.58,2032,67.42,17,0.56,207,30.85,464,69.15,11,1.61,1252,28.17,3192,71.83,21,0.47,2364,18.05,10732,81.95,66,0.5
215,Higgins,VIC,44694,61.64,27809,38.36,582,0.8,4804,68.48,2211,31.52,54,0.76,460,65.81,239,34.19,6,0.85,3928,65.71,2050,34.29,29,0.48,6903,52.18,6325,47.82,78,0.59
185,Hindmarsh,SA,36037,39.01,56352,60.99,1085,1.16,2395,45.71,2844,54.29,72,1.36,430,43.79,552,56.21,11,1.11,1871,43.29,2451,56.71,20,0.46,4574,30.62,10366,69.38,88,0.59
166,Hinkler,QLD,17871,19.49,73838,80.51,670,0.73,645,25.7,1865,74.3,19,0.75,129,28.1,330,71.9,7,1.5,908,21.82,3253,78.18,16,0.38,1982,17.72,9202,82.28,50,0.45
216,Holt,VIC,34089,43.99,43399,56.01,859,1.1,2855,49.62,2899,50.38,42,0.72,580,50.7,564,49.3,10,0.87,1711,39.95,2572,60.05,27,0.63,3944,33.44,7849,66.56,70,0.59
217,Hotham,VIC,40171,50.14,39947,49.86,992,1.22,2982,58.11,2150,41.89,39,0.75,426,54.13,361,45.87,2,0.25,2186,53.67,1887,46.33,36,0.88,6217,43.58,8049,56.42,102,0.71
124,Hughes,NSW,35137,41.99,48547,58.01,828,0.98,1889,45.45,2267,54.55,47,1.12,233,43.31,305,56.69,4,0.74,1932,40.95,2786,59.05,30,0.63,2942,34.6,5562,65.4,34,0.4
125,Hume,NSW,25338,26.56,70079,73.44,879,0.91,1692,34.39,3228,65.61,50,1.01,163,24.29,508,75.71,8,1.18,1345,30.67,3041,69.33,17,0.39,2444,21.68,8831,78.32,50,0.44
126,Hunter,NSW,29276,28.85,72195,71.15,1130,1.1,1750,36.53,3041,63.47,62,1.28,259,30.72,584,69.28,8,0.94,1238,31.62,2677,68.38,21,0.53,2438,26.64,6712,73.36,41,0.45
218,Indi,VIC,29555,32.78,60597,67.22,828,0.91,1281,51.9,1187,48.1,19,0.76,81,29.14,197,70.86,1,0.36,2365,39.11,3682,60.89,54,0.89,3007,28.21,7652,71.79,61,0.57
219,Isaacs,VIC,41868,51.46,39494,48.54,918,1.12,2734,56.71,2087,43.29,51,1.05,339,53.47,295,46.53,6,0.94,1998,50.93,1925,49.07,30,0.76,5515,42.46,7473,57.54,75,0.57
220,Jagajaga,VIC,46571,55.25,37713,44.75,864,1.01,3011,61.56,1880,38.44,58,1.17,318,58.35,227,41.65,4,0.73,2566,57.51,1896,42.49,26,0.58,5604,46.32,6494,53.68,72,0.59
167,Kennedy,QLD,16700,19.75,67842,80.25,575,0.68,1108,29.9,2598,70.1,40,1.07,316,34.92,589,65.08,6,0.66,1401,35.22,2577,64.78,19,0.48,1172,13.54,7484,86.46,29,0.33
127,Kingsford Smith,NSW,46221,55.49,37072,44.51,980,1.16,2702,64.38,1495,35.62,31,0.73,390,62,239,38,11,1.72,2731,62.32,1651,37.68,18,0.41,4343,49.09,4504,50.91,42,0.47
186,Kingston,SA,32601,36.34,57105,63.66,1069,1.18,2147,44.09,2723,55.91,39,0.79,284,40.57,416,59.43,7,0.99,1503,35.01,2790,64.99,27,0.63,4050,28.77,10026,71.23,77,0.54
221,Kooyong,VIC,48046,60.67,31143,39.33,580,0.73,4337,68.23,2019,31.77,48,0.75,384,63.16,224,36.84,7,1.14,3486,61.58,2175,38.42,22,0.39,7000,50.46,6872,49.54,82,0.59
223,La Trobe,VIC,30867,39.29,47691,60.71,771,0.97,2422,47.57,2669,52.43,36,0.7,371,45.41,446,54.59,5,0.61,1777,39.96,2670,60.04,22,0.49,4479,30.28,10311,69.72,78,0.52
222,Lalor,VIC,39100,47.52,43187,52.48,865,1.04,2718,56.59,2085,43.41,40,0.83,714,62.41,430,37.59,8,0.69,1472,45.73,1747,54.27,25,0.77,4120,36.85,7059,63.15,72,0.64
168,Leichhardt,QLD,28628,35.11,52904,64.89,730,0.89,1008,40.79,1463,59.21,19,0.76,323,45.24,391,54.76,6,0.83,1681,38.78,2654,61.22,20,0.46,2539,24.96,7632,75.04,52,0.51
169,Lilley,QLD,37269,47.52,41152,52.48,674,0.85,3040,50.72,2954,49.28,53,0.88,472,51.81,439,48.19,6,0.65,2067,46.38,2390,53.62,27,0.6,5607,39.27,8671,60.73,94,0.65
128,Lindsay,NSW,29884,31.27,65674,68.73,1218,1.26,1423,36.28,2499,63.72,34,0.86,344,37.07,584,62.93,16,1.69,1223,35.36,2236,64.64,22,0.63,2616,24.69,7981,75.31,46,0.43
306,Lingiari,NT,19870,45.02,24262,54.98,347,0.78,444,36.54,771,63.46,5,0.41,88,35.92,157,64.08,1,0.41,1466,38.46,2346,61.54,28,0.73,406,23.13,1349,76.87,4,0.23
302,Longman,QLD,22435,25.1,66946,74.9,934,1.03,1496,32.91,3050,67.09,36,0.79,268,28.27,680,71.73,9,0.94,1391,26.44,3870,73.56,30,0.57,3771,19.94,15145,80.06,90,0.47
130,Lyne,NSW,26017,26.1,73649,73.9,937,0.93,1495,37.22,2522,62.78,54,1.33,139,26.68,382,73.32,2,0.38,1311,33.01,2660,66.99,26,0.65,2055,23.05,6862,76.95,36,0.4
196,Lyons,TAS,20372,32.63,42060,67.37,820,1.3,1665,37.58,2765,62.42,54,1.2,227,31.84,486,68.16,12,1.66,988,43.68,1274,56.32,9,0.4,2542,27.3,6770,72.7,52,0.56
131,Macarthur,NSW,36421,35.17,67143,64.83,1436,1.37,1965,37.98,3209,62.02,70,1.33,567,39.59,865,60.41,15,1.04,1808,37.57,3004,62.43,34,0.7,2858,28.43,7194,71.57,52,0.51
132,Mackellar,NSW,43454,51.03,41697,48.97,938,1.09,2507,59.2,1728,40.8,44,1.03,302,57.74,221,42.26,7,1.32,2109,57.51,1558,42.49,22,0.6,3927,42.29,5358,57.71,38,0.41
322,Macnamara,VIC,44633,66.78,22199,33.22,624,0.93,5455,70.4,2294,29.6,67,0.86,535,65.4,283,34.6,10,1.21,4674,67.2,2281,32.8,39,0.56,8287,51.59,7776,48.41,119,0.74
133,Macquarie,NSW,37317,43.82,47846,56.18,897,1.04,1532,44.46,1914,55.54,38,1.09,198,46.26,230,53.74,12,2.73,1743,48.24,1870,51.76,18,0.5,3024,36.78,5198,63.22,39,0.47
187,Makin,SA,28258,32.4,58969,67.6,962,1.09,2349,39.82,3550,60.18,52,0.87,392,39.96,589,60.04,13,1.31,1354,34.98,2517,65.02,23,0.59,3530,25.69,10209,74.31,97,0.7
224,Mallee,VIC,19517,21.19,72575,78.81,722,0.78,976,38.73,1544,61.27,24,0.94,117,31.88,250,68.12,3,0.81,1355,28.63,3378,71.37,20,0.42,1936,18.51,8526,81.49,67,0.64
170,Maranoa,QLD,12070,15.75,64578,84.25,479,0.62,826,23.8,2645,76.2,11,0.32,107,17.07,520,82.93,3,0.48,950,19.75,3861,80.25,14,0.29,1641,10.38,14164,89.62,56,0.35
225,Maribyrnong,VIC,38917,51.94,36006,48.06,815,1.08,3031,63.44,1747,36.56,44,0.91,378,56.5,291,43.5,7,1.04,2970,52.22,2717,47.78,38,0.66,6378,43.43,8309,56.57,105,0.71
188,Mayo,SA,40290,40.45,59311,59.55,1041,1.03,2485,48.31,2659,51.69,49,0.94,448,43.84,574,56.16,10,0.97,2362,41.8,3289,58.2,36,0.63,4410,33.85,8617,66.15,81,0.62
